title,author_name,url
study vlog #30 | 女程序员晚间轻松充电时刻 | web3近期发生的趣事 | 聊聊英语口语练习 | 围观我司的workshop,polebug23,https://www.bilibili.com/video/BV1nR4y1v7UC
放弃熬夜，做清晨的霸主（人生效率的巨变）,硬核的HeyMatt,https://www.bilibili.com/video/BV1r24y1J7E7
不过是享受了互联网的十年红利期而已。,叫我王歪歪,https://www.bilibili.com/video/BV1GG4y1N7xt
UP主们都怎么做字幕？调研100位UP，他们的秘密是...,影视飓风,https://www.bilibili.com/video/BV1GY4y1U7oq
如何科学的护理产后母猪？,衣戈猜想,https://www.bilibili.com/video/BV1EB4y1q7NX
“那是因为二舅活得好，不是因为我写得好”,新华社,https://www.bilibili.com/video/BV1dr4y1L7cN
回村三天，二舅治好了我的精神内耗,衣戈猜想,https://www.bilibili.com/video/BV1MN4y177PB
公开呼吁取关？！一条视频席卷全国，衣戈猜想走红真的是偶然吗？,影视飓风,https://www.bilibili.com/video/BV1WD4y1N7jJ
《2022职场青年自救实录》,衣戈猜想,https://www.bilibili.com/video/BV1Q3411S7qu
【2022】【专升本高等数学】【基础全程班】【专升本高数】,杰哥专升本,https://www.bilibili.com/video/BV1Up4y1Y76a
【动画大评书】《明朝那些事儿》大明王朝动画版 1-608全集【去片头片尾】,吸血鬼的智齿,https://www.bilibili.com/video/BV1Bp411Z71q
No.14蓝P省课③,羊城做题家,https://www.bilibili.com/video/BV1zM41147W1
Yolo目标检测毕业设计FPS游戏自瞄,伊沐熙丶Yx,https://www.bilibili.com/video/BV1MR4y1i7eC
2022感动中国十大人物揭晓！附颁奖词、事迹！,大肥肥肥羊,https://www.bilibili.com/video/BV1884y1P751
No.14蓝P省课④,羊城做题家,https://www.bilibili.com/video/BV1Ro4y1z7oz
No.14蓝P省课②,羊城做题家,https://www.bilibili.com/video/BV1wM411s7oh
历史那些事 第二季,,
在麦当劳的总部吃汉堡是啥体验？“老板”眼皮子底下出来的汉堡会更香？,哇塞几张,https://www.bilibili.com/video/BV1r54y1w7NJ
为什么一核有难八核看戏？你真的明白CPU各种核吗？,epcdiy,https://www.bilibili.com/video/BV1BY4y127Hp
被挂上热搜的“第一次吃华莱士”，背后藏着最残酷的底层之痛,小椰子专栏,https://www.bilibili.com/video/BV1cM411w7D9
第十四届蓝桥杯模拟赛（第三期）,yyywifiiiiiii,https://www.bilibili.com/video/BV1tj411G7no
happy new year,爱学的小余,https://www.bilibili.com/video/BV1YG4y1L7Yg
通过卷实现梦想后，人清醒了…,我是那个CJJ,https://www.bilibili.com/video/BV1NT411f7dd
没想到又被攻击了！赔了1.5万，我真服了！,程序员鱼皮,https://www.bilibili.com/video/BV1Tb411Q7V4
《高等数学》同济版 全程教学视频（宋浩老师）,宋浩老师官方,https://www.bilibili.com/video/BV1Eb411u7Fw
身兼五职月入12万的程序猿办公桌长啥样,程序猿白瑞,https://www.bilibili.com/video/BV1NM4y1d7rN
Python-P85话：模块和包（上）,鱼C-小甲鱼,
第14届蓝桥杯Python组省课①,羊城做题家,https://www.bilibili.com/video/BV1Ss4y1j7od
No.14蓝P省课④,羊城做题家,https://www.bilibili.com/video/BV1Qg4y1E77P
"串串香老板的福音,手机软件计数器app自动识别图片中竹签数量",精点相机,
第14届蓝桥杯Python夺冠,羊城做题家,https://www.bilibili.com/video/BV1My4y1Q7v7
三体,,
专升本英语3800词汇慢速双刷绿色护眼顺序版（完更）,小默英语,https://www.bilibili.com/video/BV1Vv411i7Vo
全国计算机等级考试Python二级教程（全集）,克拉欧德python,https://www.bilibili.com/video/BV1eW411Z7mJ
第14届蓝桥杯Python夺冠,羊城做题家,https://www.bilibili.com/video/BV1nM411n74m
【蓝桥杯比赛】视频教程（入门学习+算法辅导）,小何同学在努力,https://www.bilibili.com/video/BV1Lb4y1k7K3
蓝桥杯备,羊城做题家,https://www.bilibili.com/video/BV1sM4y1D7rY
NOIP 洛谷题单【动态规划1】动态规划的引入,嘉持,https://www.bilibili.com/video/BV1LE411c7En
洛谷 普及组( CSP - J )试炼场  -  深度优先搜索 （DFS),嘉持,https://www.bilibili.com/video/BV14E411q73d
洛谷 普及组试炼场  -  广度优先搜索 （BFS),嘉持,https://www.bilibili.com/video/BV1AE411a7Wp
Python数据结构与算法04——栈与队列,玲老板家的长工,https://www.bilibili.com/video/BV1qV411z7FN
【算法竞赛入门-搜索】简单搜索BFS与DFS,Lesning,https://www.bilibili.com/video/BV1k7411z71m
黑马程序员Python高级语法进阶教程_python多任务及网络编程，从零搭建网站全套教程,黑马程序员,https://www.bilibili.com/video/BV1Ex411x7Xn
黑马程序员Python教程_600集Python从入门到精通教程（懂中文就能学会）,黑马程序员,https://www.bilibili.com/video/BV1ex411x7Em
基于人体骨骼的多人实时动作识别,q_2645267721,https://www.bilibili.com/video/BV1kJ411Y7nP
社区开放麦#38 目标检测新范式！DETR 系列算法解读,OpenMMLab,https://www.bilibili.com/video/BV17x4y1w7ZK
AI实战营 结营仪式,OpenMMLab,https://www.bilibili.com/video/BV1ge4y1c7tY
7 MMSegmentation 代码教学,OpenMMLab,https://www.bilibili.com/video/BV1eT411R7Jq
垃圾分类-本地上传-功能演示,爱学的小余,https://www.bilibili.com/video/BV1RM41167JP
6 语义分割算法基础,OpenMMLab,https://www.bilibili.com/video/BV1s24y1W7Xa
5 MMDetection 代码教学,OpenMMLab,https://www.bilibili.com/video/BV1Av4y1475i
聪明方法学Python,二次元的Datawhale,https://www.bilibili.com/video/BV1hv411n7Yg
3 图像分类代码实战与超算平台介绍,OpenMMLab,https://www.bilibili.com/video/BV1MA411k7NT
4 目标检测算法基础,OpenMMLab,https://www.bilibili.com/video/BV1Ay4y1Q7mC
2 计算机视觉之图像分类算法基础,OpenMMLab,https://www.bilibili.com/video/BV1js4y1W7CN
1 计算机视觉算法基础与OpenMMLab介绍,OpenMMLab,https://www.bilibili.com/video/BV1Ty4y1X7X1
瑞斯拜四六级预备专题课1--词根词缀构词法,我是瑞斯拜,https://www.bilibili.com/video/BV1ke4y1P7BC
AI 实战营开营仪式,OpenMMLab,https://www.bilibili.com/video/BV1o3411X7MB
1.1 卷积神经网络基础,霹雳吧啦Wz,https://www.bilibili.com/video/BV1b7411T7DA
惊险瞬间！航班在高空中剧烈颠簸，有乘客录视频以防不测，飞机最后平安落地,搜狐新闻,https://www.bilibili.com/video/BV1zT411y7eB
2023年首发！ChatGPT终于出官方解读教程了！绝对是ChatGPT教程中的天花板！太强了！——（人工智能、深度学习、神经网络、机器学习、机器学习实战）,人工智能-精品教程,https://www.bilibili.com/video/BV1TG4y1C7MT
